Lenguaje,ExperienciaAnios,ProyectosCompletados,HorasCodigoPorSemana,Certificaciones,SalarioMensualUSD,FrameworksUsados
Python,5,30,25,3,4500,4
JavaScript,3,20,30,2,4000,5
Java,7,50,20,5,5500,3
C++,10,80,15,6,4500,2
Ruby,2,10,35,1,3500,3
PHP,4,25,28,2,4000,4
C#,6,45,18,4,4800,3
Swift,3,15,22,1,4200,2
Go,4,30,24,2,4600,3
Kotlin,5,35,26,3,5000,4
Rust,6,40,25,4,5200,3
TypeScript,3,18,27,1,4000,4
Scala,7,55,21,5,5700,3
Perl,8,60,16,5,5400,2
R,4,28,23,2,4500,3
Dart,3,22,29,1,3900,4
Elixir,4,32,25,3,4700,3
Haskell,5,20,20,3,4800,3
Matlab,6,48,22,4,5100,2
Lua,3,18,19,1,4000,2
Julia,2,15,30,2,4100,2
Objective-C,7,40,21,5,5500,3
Assembly,10,60,12,6,6000,1
F#,4,35,26,3,5000,3
